,Team ID,Nickname,Year Founded,Team New ID,Team ID_drop,Team Name,Abbreviation,Nickname_drop,Team City,Team State,Year Founded_drop,Team ID_drop,Abbreviation_drop,Nickname_drop,Year Founded_drop,Team City_drop,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team ID_drop,Team City_drop,Nickname_drop,Year Founded_drop,Team Active Until
24,1610612761,Raptors,1995,8e0fe064adddee32b8a74442de44f288,1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0,1610612761,TOR,Raptors,1995,Toronto,Amalie Arena,,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905,https://www.facebook.com/TorontoRaptors,https://instagram.com/raptors,https://twitter.com/Raptors,1610612761,Toronto,Raptors,1995,2019
25,1610612762,Jazz,1974,e6f60f797557bd3887ca99fe834fa0bf,1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0,1610612762,UTA,Jazz,1974,Utah,Vivint Arena,,Ryan Smith,Dennis Lindsey,Quin Snyder,Salt Lake City Stars,https://www.facebook.com/utahjazz,https://instagram.com/utahjazz,https://twitter.com/utahjazz,1610612762,New Orleans,Jazz,1974,1978
26,1610612763,Grizzlies,1995,68e129f4e78b99a0bccbf5e665b56dea,1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0,1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle,https://www.facebook.com/MemphisGrizzlies,https://instagram.com/memgrizz,https://twitter.com/memgrizz,1610612763,Vancouver,Grizzlies,1995,2000
27,1610612764,Wizards,1961,12827c84c0bbadb0184d512e7595a126,1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0,1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Scott Brooks,Capital City Go-Go,https://www.facebook.com/Wizards,https://instagram.com/washwizards,https://twitter.com/WashWizards,,,,,
28,1610612765,Pistons,1948,c32af8cf1c4d26fe2a88157402ab8220,1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948.0,1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive,https://www.facebook.com/detroitpistons,https://instagram.com/detroitpistons,https://twitter.com/DetroitPistons,1610612765,Ft. Wayne Zollner,Pistons,1948,1956
29,1610612766,Hornets,1988,1f8fccf6aa01654085651e2f1ddedc78,1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988.0,1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm,https://www.facebook.com/hornets,https://instagram.com/hornets,https://twitter.com/hornets,1610612766,Charlotte,Hornets,1988,2001
30,1610612737,Hawks,1949,4e91a2e0064de13f02a8e5bd31c463ef,1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0,1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Nate McMillan,Erie Bayhawks,https://www.facebook.com/hawks,https://instagram.com/atlhawks,https://twitter.com/ATLHawks,,,,,
31,1610612738,Celtics,1946,cee080874ccad94533aa9e299ed61adc,1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0,1610612738,BOS,Celtics,1946,Boston,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,https://www.facebook.com/bostonceltics,https://instagram.com/celtics,https://twitter.com/celtics,1610612738,Boston,Celtics,1946,2019
32,1610612739,Cavaliers,1970,d1c9f9cae7854800d5acaa35c8b2701d,1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0,1610612739,CLE,Cavaliers,1970,Cleveland,Rocket Mortgage FieldHouse,20562.0,Dan Gilbert,Koby Altman,JB Bickerstaff,Canton Charge,https://www.facebook.com/Cavs,https://instagram.com/cavs,https://twitter.com/cavs,1610612739,Cleveland,Cavaliers,1970,2019
33,1610612740,Pelicans,2002,bd2d27871eb860ec86046cab6d73be68,1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0,1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Tom Benson,Trajan Langdon,Stan Van Gundy,No Affiliate,https://www.facebook.com/PelicansNBA,https://instagram.com/pelicansnba,https://twitter.com/PelicansNBA,,,,,
